timestamp,participant_id,condition,study_id,session_id

2024-06-11T13:57:28+0000,DEBUG,77.csv,DEBUG,0
2024-06-11T13:57:31+0000,DEBUG,203.csv,DEBUG,0
2024-06-11T14:00:31+0000,DEBUG,379.csv,DEBUG,0
2024-06-11T14:01:05+0000,DEBUG,1.csv,DEBUG,0
2024-06-11T14:01:16+0000,DEBUG,1.csv,DEBUG,0
2024-06-11T14:01:28+0000,DEBUG,2.csv,DEBUG,0
2024-06-11T14:02:18+0000,DEBUG,2.csv,DEBUG,0
2024-06-11T14:02:26+0000,DEBUG,3.csv,DEBUG,0
2024-06-11T14:02:36+0000,DEBUG,4.csv,DEBUG,0
2024-06-12T10:25:23+0000,DEBUG,313.csv,DEBUG,0
2024-06-12T10:26:13+0000,DEBUG,362.csv,DEBUG,0
2024-06-12T10:26:56+0000,DEBUG,250.csv,DEBUG,0
2024-06-12T10:27:06+0000,DEBUG,241.csv,DEBUG,0
2024-06-12T10:28:00+0000,DEBUG,74.csv,DEBUG,0
2024-06-12T10:30:54+0000,DEBUG,367.csv,DEBUG,0
2024-06-12T10:31:04+0000,DEBUG,263.csv,DEBUG,0
2024-06-12T10:32:04+0000,DEBUG,198.csv,DEBUG,0
2024-06-12T10:32:53+0000,DEBUG,142.csv,DEBUG,0
2024-06-12T10:34:28+0000,DEBUG,170.csv,DEBUG,0
2024-06-12T10:34:53+0000,DEBUG,18.csv,DEBUG,0
2024-06-12T10:37:18+0000,DEBUG,68.csv,DEBUG,0
2024-06-12T10:44:39+0000,DEBUG,108.csv,DEBUG,0
2024-06-14T09:23:39+0000,DEBUG,63.csv,DEBUG,0
2024-06-14T09:23:43+0000,DEBUG,123.csv,DEBUG,0
2024-06-14T09:25:54+0000,DEBUG,41.csv,DEBUG,0
2024-06-14T09:25:59+0000,DEBUG,51.csv,DEBUG,0
2024-06-17T08:19:06+0000,DEBUG,288.csv,DEBUG,0
2024-06-17T08:19:24+0000,DEBUG,323.csv,DEBUG,0
2024-06-17T08:22:11+0000,DEBUG,213.csv,DEBUG,0
2024-06-17T08:22:22+0000,DEBUG,201.csv,DEBUG,0
2024-06-17T08:22:43+0000,DEBUG,274.csv,DEBUG,0
2024-06-17T08:23:31+0000,DEBUG,279.csv,DEBUG,0
2024-06-17T08:27:55+0000,DEBUG,327.csv,DEBUG,0
2024-06-17T08:36:24+0000,DEBUG,265.csv,DEBUG,0
2024-06-17T08:38:42+0000,DEBUG,336.csv,DEBUG,0
2024-06-17T08:39:13+0000,DEBUG,365.csv,DEBUG,0
2024-06-17T08:39:35+0000,DEBUG,59.csv,DEBUG,0
2024-06-17T08:41:53+0000,DEBUG,344.csv,DEBUG,0
2024-06-17T08:42:06+0000,DEBUG,3.csv,DEBUG,0
2024-06-17T08:42:10+0000,DEBUG,2.csv,DEBUG,0
2024-06-17T08:42:22+0000,DEBUG,2.csv,DEBUG,0
2024-06-17T09:02:27+0000,DEBUG,2.csv,DEBUG,0
2024-06-17T09:08:10+0000,DEBUG,2.csv,DEBUG,0
